Region,District,vvrid,vvid,round,N_vvid,Dist_Area,Area_kmsq,Population,dist_km,vdogs,v_mean_date,v_mean_date,season_with_NA,season,Correct_District,CategoryVax,Category,nocollars,collars,tdogs,dog_vill_est,Pop2012,HH_Livestk_Keepers,Gr,TotalHH,Vaccines_vials,Cost,Nvaccinators
Mtwara,mtwararural,mtwararural_kiromba_misufini_3,mtwararural_kiromba_misufini,3,156,3629.498196,29.5502351,1156,43.694,2,22/06/2014,22-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,9,228003,21651,1,58602,130,8165500,58
Mtwara,mtwararural,mtwararural_kiromba_nachuma_3,mtwararural_kiromba_nachuma,3,156,3629.498196,14.80886087,613,48.216,0,21/06/2014,21-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,5,228003,21651,1,58602,130,8165500,58
Mtwara,mtwararural,mtwararural_kiyanga_mkahara_3,mtwararural_kiyanga_mkahara,3,156,3629.498196,16.54697237,896,58.419,2,22/06/2014,22-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,7,228003,21651,1,58602,130,8165500,58
Mtwara,mtwararural,mtwararural_kiyanga_mpanyani_3,mtwararural_kiyanga_mpanyani,3,156,3629.498196,10.94052197,1329,56.841,0,22/06/2014,22-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,10,228003,21651,1,58602,130,8165500,58
Mtwara,mtwararural,mtwararural_madimba_mtendachi_3,mtwararural_madimba_mtendachi,3,156,3629.498196,23.10934269,888,17.188,1,22/06/2014,22-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,7,228003,21651,1,58602,130,8165500,58
Mtwara,mtwararural,mtwararural_milangominne_mnyawisokonii_3,mtwararural_milangominne_mnyawisokonii,3,156,3629.498196,10.40431199,1636,68.691,0,21/06/2014,21-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,12,228003,21651,1,58602,130,8165500,58
Mtwara,mtwararural,mtwararural_mpapura_nanyani_3,mtwararural_mpapura_nanyani,3,156,3629.498196,25.10941383,596,26.108,1,20/06/2014,20-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,5,228003,21651,1,58602,130,8165500,58
Mtwara,mtwararural,mtwararural_msangamkuu_nalingu_3,mtwararural_msangamkuu_nalingu,3,156,3629.498196,11.98429122,2263,21.198,0,20/06/2014,20-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,17,228003,21651,1,58602,130,8165500,58
Mtwara,mtwararural,mtwararural_mtiniko_mtiniko_3,mtwararural_mtiniko_mtiniko,3,156,3629.498196,70.14757715,2157,44.645,0,22/06/2014,22-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,16,228003,21651,1,58602,130,8165500,58
Mtwara,mtwararural,mtwararural_nanguruwe_namayakatashuleni_3,mtwararural_nanguruwe_namayakatashuleni,3,156,3629.498196,38.19432001,1171,22.694,0,23/06/2014,23-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,9,228003,21651,1,58602,130,8165500,58
Mtwara,mtwararural,mtwararural_nanguruwe_ngorongoro_3,mtwararural_nanguruwe_ngorongoro,3,156,3629.498196,16.88469935,589,25.883,1,23/06/2014,23-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,4,228003,21651,1,58602,130,8165500,58
Mtwara,mtwararural,mtwararural_naumbu_naumbukusini_3,mtwararural_naumbu_naumbukusini,3,156,3629.498196,5.612662477,970,6.094,3,19/06/2014,19-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,7,228003,21651,1,58602,130,8165500,58
Mtwara,mtwararural,mtwararural_nitekela_migombani_3,mtwararural_nitekela_migombani,3,156,3629.498196,22.41630117,1209,62.138,0,19/06/2014,19-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,9,228003,21651,1,58602,130,8165500,58
Mtwara,mtwararural,mtwararural_tangazo_magomeni_3,mtwararural_tangazo_magomeni,3,156,3629.498196,8.655485033,493,30.724,2,18/06/2014,18-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,4,228003,21651,1,58602,130,8165500,58
