Region,District,Ward,Village,team_leader,dateVaccination,dateVaccinati,Dogs,Cats,Correct_Village,Correct_Ward,Correct_District,Correct_Region
Lindi,Ruangwa,Luchelegwa,Luchelegwa,Dokta Muna,06/06/2014,06-Jun-14,11,9,Luchelegwa,Luchelegwa,Ruangwa,Lindi
Mtwara,Newala,Luchingu,Luchingu,NA,24/11/2016,24-Nov-16,16,0,Luchingu,Luchindu,Newala,Mtwara
Mtwara,Newala,Mnyambe,Butiama,NA,08/11/2016,08-Nov-16,9,9,Luchingu,Luchindu,Newala,Mtwara
Mtwara,Newala,Luchingu,Luchingu,Kimario,21/08/2015,21-Aug-15,7,0,Luchingu,Luchindu,Newala,Mtwara
Mtwara,Newala,Luchindu,LUCHINGU,MICHAEL MWALUGALI,16/03/2011,16-Feb-11,0,0,Luchingu,Luchindu,Newala,Mtwara
Morogoro,Morogoro urban,Mlimani,Lufuza,NA,07/11/2016,07-Nov-16,31,6,Lufuza,Mlimani,Morogoro Urban,Morogoro
Morogoro,Kilombero,Uchindile,Lugala,NA,26/11/2016,26-Nov-16,38,1,Lugala,Uchindile,Kilombero,Morogoro
Morogoro,Kilombero,Uchindile ,Lugala ,Magunwa Ndegese,24/01/2015,24-Jan-15,84,13,Lugala,Uchindile,Kilombero,Morogoro
Morogoro,Kilombero,Uchindile  ,Lugala,NA,10/10/2011,10-Oct-11,0,0,Lugala,Uchindile,Kilombero,Morogoro
Morogoro,Kilombero,Uchindile  ,Lugala,NA,29/07/2010,29-Jul-10,0,0,Lugala,Uchindile,Kilombero,Morogoro
Morogoro,Morogoro urban,Mazimbu,Lugala,NA,08/11/2016,08-Nov-16,36,6,Lugala,Mazimbu,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Mazimbu,Lugala,Grace,11/02/2013,11-Feb-13,185,12,Lugala,Mazimbu,Morogoro Urban,Morogoro
