Region,District,Ward,Village,team_leader,dateVaccination,dateVaccinati,Dogs,Cats,Correct_Village,Correct_Ward,Correct_District,Correct_Region
Lindi,Nachingwea, Mnerongongo  , Mnerongongo ,NA,23/02/2011,23-Feb-11,74,35,Mnerongongo,Mnerongongo,Nachingwea,Lindi
Lindi,Nachingwea,Mnerongongo,Mnerongongo,Adrian Njega,27/06/2014,27-Jun-14,74,4,Mnerongongo,Mnerongongo,Nachingwea,Lindi
Mtwara,Mtwara rural,Nalingu,Mnete,NA,13/11/2016,13-Nov-16,0,0,Mnete,Msanga Mkuu,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Nalingu,Mnete,NA,26/08/2015,26-Aug-15,2,4,Mnete,Msanga Mkuu,Mtwara Rural,Mtwara
Mtwara,Mtwara Rural, Msanga mkuu  ,Mnete,"Kazumali A., Dotto Awadh, Maria Ngatata",19/06/2014,19-Jun-14,0,0,Mnete, Msanga mkuu  ,Mtwara Rural,Mtwara
Coast,Rufiji,Dimani,Mng'aru,NA,18/11/2016,18-Nov-16,19,1,Mng'aru,Dimani,Rufiji,Pwani
Pwani,Rufiji,Dimani,Mng'aru,NA,05/02/2015,05-Feb-15,8,1,Mng'aru,Dimani,Rufiji,Pwani
Pwani,Rufiji,Dimani,Mng'aru,THOMAS KIOMBO,13/12/2013,13-Dec-13,9,0,Mng'aru,Dimani,Rufiji,Pwani
Pwani,Rufiji,Dimani,Mng'aru,THOMAS KIOMBO,04/03/2011,04-Mar-11,7,0,Mng'aru,Dimani,Rufiji,Pwani
Morogoro,Morogoro rural,Mngazi,Mngazi,Doreen Shayo,03/11/2016,03-Nov-16,154,22,Mngazi,Mngazi,Morogoro,Morogoro
Morogoro,Morogoro,Mngazi,Matola,Mohamed kilonga,04/02/2013,04-Mar-13,26,4,Mngazi,Mngazi,Morogoro,Morogoro
Morogoro,Morogoro,Mngazi,Kikondeni,Steven lonela,03/02/2013,03-Mar-13,21,6,Mngazi,Mngazi,Morogoro,Morogoro
Morogoro,Morogoro,Mngazi,Mngazi,Matei boko,02/02/2013,02-Mar-13,27,0,Mngazi,Mngazi,Morogoro,Morogoro
Morogoro,Morogoro,Mngazi,Mngazi,Mohamed kilonga,02/02/2013,02-Mar-13,32,3,Mngazi,Mngazi,Morogoro,Morogoro
Morogoro,Morogoro Rural,Mgazi,Mngazi,Doreen Shayo,17/12/2014,17-Dec-14,32,3,Mngazi,Mngazi,Morogoro,Morogoro
Morogoro,Kilombero,Mngeta,Isago,NA,29/11/2016,29-Nov-16,99,8,Mngeta,Mchombe,Kilombero,Morogoro
Morogoro,Kilombero,Mngeta,Luvirikila,NA,28/11/2016,28-Nov-16,118,1,Mngeta,Mchombe,Kilombero,Morogoro
Morogoro,Kilombero,Mngeta,Kidete,NA,26/11/2016,26-Nov-16,61,9,Mngeta,Mchombe,Kilombero,Morogoro
Morogoro,Kilombero,Mngeta,Mngeta,NA,25/11/2016,25-Nov-16,169,19,Mngeta,Mchombe,Kilombero,Morogoro
Morogoro,Kilombero,Mngeta ,Luvirikila ,Edina Sasai,08/01/2015,08-Jan-15,111,14,Mngeta,Mchombe,Kilombero,Morogoro
Morogoro,Kilombero,Mngeta ,Isago ,Ally Mnola,06/01/2015,06-Jan-15,128,15,Mngeta,Mchombe,Kilombero,Morogoro
Morogoro,Kilombero,Mngeta ,Kidete ,Twahil Nkrumah,06/01/2015,06-Jan-15,68,17,Mngeta,Mchombe,Kilombero,Morogoro
Morogoro,Kilombero,Mngeta ,Mngeta ,Lucas Mhenga,05/01/2015,05-Jan-15,72,16,Mngeta,Mchombe,Kilombero,Morogoro
Morogoro,Kilombero,Mchombe  ,Mngeta,NA,12/10/2011,12-Oct-11,289,39,Mngeta,Mchombe,Kilombero,Morogoro
Morogoro,Kilombero,Mchombe  ,Mngeta,NA,22/07/2010,22-Jul-10,124,4,Mngeta,Mchombe,Kilombero,Morogoro
Mtwara,Mtwara rural,Madimba,Mngoji,NA,10/11/2016,10-Nov-16,4,0,Mngoji,Madimba,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Madimba,Mngoji,NA,24/08/2015,24-Aug-15,2,0,Mngoji,Madimba,Mtwara Rural,Mtwara
mtwara,Mtwara rural,Madimba,Mngoji,Nico lukoya,30/06/2012,30-Jun-12,0,5,Mngoji,Madimba,Mtwara Rural,Mtwara
mtwara,Mtwara rural,Madimba,Mngoji,Salum kamtonye,26/02/2011,26-Feb-11,0,2,Mngoji,Madimba,Mtwara Rural,Mtwara
Mtwara,Mtwara Rural, Madimba  ,Mngoji,"Kazumali A., Dotto Awadh, Maria Ngatata",21/06/2014,21-Jun-14,0,0,Mngoji, Madimba  ,Mtwara Rural,Mtwara
Morogoro,Morogoro urban,Mlimani,Mng'ongo,NA,07/11/2016,07-Nov-16,28,3,Mng'ongo,Mlimani,Morogoro Urban,Morogoro
Mtwara,Mtwara rural,Mnima,Namdimba,NA,17/11/2016,17-Nov-16,0,0,Mnima,Mnima,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Mnima,Mnima,NA,14/11/2016,14-Nov-16,8,0,Mnima,Mnima,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Mnima,Namdimba,NA,27/08/2015,27-Aug-15,0,0,Mnima,Mnima,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Mnima,Mnima,NA,24/08/2015,24-Aug-15,3,1,Mnima,Mnima,Mtwara Rural,Mtwara
mtwara,Mtwara rural,Mnima,Mnima,Abdala kamtande,28/06/2012,28-Jun-12,0,1,Mnima,Mnima,Mtwara Rural,Mtwara
Mtwara,Newala,Mnyambe,Mnima,NA,13/11/2016,13-Nov-16,82,10,Mnima,Mnyambe,Newala,Mtwara
Mtwara,Newala,Mnyambe,Mnima,Msuya,20/08/2015,20-Aug-15,75,2,Mnima,Mnyambe,Newala,Mtwara
mtwara,Newala,Mnyambe,Mkalenda,Msuya,14/09/2012,14-Sep-12,69,7,Mnima,Mnyambe,Newala,Mtwara
Mtwara,Newala,Mnyambe,MNIMA,VALERIAN MKUNDI,05/03/2011,05-Mar-11,121,3,Mnima,Mnyambe,Newala,Mtwara
Mtwara,Mtwara Rural, Mnima  ,Mnima,"Mtemba O., Joha Matwili, Litimba Salum",23/06/2014,23-Jun-14,1,2,Mnima, Mnima  ,Mtwara Rural,Mtwara
Mtwara,Newala,Mnyambe,Mnima,Omary Msuya,05/07/2014,05-Jul-14,39,0,Mnima,Mnyambe,Newala,Mtwara
Lindi,Lindi rural,Kilangala,Mnimbila,Moses Kilangali,14/11/2016,14-Nov-16,12,4,Mnimbila,Kilangala,Lindi Rural,Lindi
lindi,Lindi rural,Kilangala,Mnimbila,Jesse Mwaimu,28/06/2012,28-Jun-12,6,4,Mnimbila,Kilangala,Lindi Rural,Lindi
Lindi,Lindi rural,Kilangala,Mnimbila ,Moses Kilangali ,21/02/2011,21-Feb-11,12,5,Mnimbila,Kilangala,Lindi Rural,Lindi
Lindi,Lindi Rural,Kilangala,Mnimbila,MOSSES KILANGALI,23/06/2014,23-Jun-14,12,1,Mnimbila,Kilangala,Lindi Rural,Lindi
Mtwara,Mtwara rural,Mtiniko,Mnivita,NA,13/11/2016,13-Nov-16,0,0,Mnivata,Mtiniko,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Mtiniko,Mnivata,NA,25/08/2015,25-Aug-15,0,2,Mnivata,Mtiniko,Mtwara Rural,Mtwara
mtwara,Mtwara rural,Mtiniko,Mnivata,Saidi Kaunde,28/06/2012,28-Jun-12,0,1,Mnivata,Mtiniko,Mtwara Rural,Mtwara
Mtwara,Mtwara Rural, Mtiniko  ,Mnivata,"Athumani K., Temba N. P., Mlanji M,",22/06/2014,22-Jun-14,0,2,Mnivata, Mtiniko  ,Mtwara Rural,Mtwara
Lindi,Lindi rural,Mnolela,Mnolela,Boniventure Achiula,13/11/2016,13-Nov-16,8,2,Mnolela,Mnolela,Lindi Rural,Lindi
Lindi,Lindi rural,Kilangala,Mnolela,Neema Chijendi ,06/09/2015,06-Sep-15,15,0,Mnolela,Mnolela,Lindi Rural,Lindi
lindi,Lindi rural,Mnolela,Mnolela,Z0hura Livengwa,30/06/2012,30-Jun-12,8,5,Mnolela,Mnolela,Lindi Rural,Lindi
Lindi,Lindi rural,Mnolela,Mnolela ,Jafarani Mohamedi,19/02/2011,19-Feb-11,7,0,Mnolela,Mnolela,Lindi Rural,Lindi
Mtwara,Masasi rural,Mkululu,Mnolela,Shaibu Amuri,07/09/2015,07-Sep-15,16,5,Mnolela,Mkululu,Masasi,Mtwara
Mtwara,Masasi,Mkululu,Mnolela,Paschal Mrinji,20/06/2014,20-Jun-14,14,8,Mnolela,Mkululu,Masasi,Mtwara
Mtwara,Newala,Malatu,Mnolela,NA,10/11/2016,10-Nov-16,2,2,Mnolela,Malatu,Newala,Mtwara
Mtwara,Newala,Malatu,Mnolela,Shakira,25/08/2015,25-Aug-15,15,2,Mnolela,Malatu,Newala,Mtwara
Mtwara,Newala,Malatu,MNOLELA,SILAS MWANG'ENGA,18/03/2011,18-Feb-11,0,0,Mnolela,Malatu,Newala,Mtwara
Mtwara,Newala,Malatu,Mnolela,Sadock Biyogwa,03/07/2014,03-Jul-14,5,0,Mnolela,Malatu,Newala,Mtwara
Mtwara,Mtwara rural,Mnongodi, Mnongodi,NA,12/11/2016,12-Nov-16,0,0,Mnongodi,Namtumbuka,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Mnongodi,Mnongodi Magharib,NA,11/11/2016,11-Nov-16,6,13,Mnongodi,Namtumbuka,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Mnongodi,Mnongodi,NA,27/08/2015,27-Aug-15,0,5,Mnongodi,Namtumbuka,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Kiyanga,Kiyanga,NA,23/08/2015,23-Aug-15,8,2,Mnongodi,Namtumbuka,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Mnongodi,Mnongodi Magharib,NA,23/08/2015,23-Aug-15,15,5,Mnongodi,Namtumbuka,Mtwara Rural,Mtwara
mtwara,Mtwara rural,Namtumbuka,Mnongodi,Nyachiro Makoko Golita,29/06/2012,29-Jun-12,8,1,Mnongodi,Namtumbuka,Mtwara Rural,Mtwara
mtwara,Mtwara rural,Kiyanga,Mnongodi,Said Adilike,27/02/2011,27-Apr-11,7,0,Mnongodi,Kiyanga,Mtwara Rural,Mtwara
Mtwara,Mtwara Rural, Namtumbuka  ,Mnongodi,"Masumbuko G., Oscar Mwakafilwa, Mary Temba",23/06/2014,23-Jun-14,5,2,Mnongodi, Namtumbuka  ,Mtwara Rural,Mtwara
Mtwara,Nanyumbu,Mangaka  ,Mnonia,NA,30/11/2016,31-Oct-16,5,0,Mnonia,Mangaka,Nanyumbu,Mtwara
Mtwara,Nanyumbu,Mangaka  ,Mnonia,NA,20/08/2015,20-Aug-15,7,0,Mnonia,Mangaka,Nanyumbu,Mtwara
Mtwara,Nanyumbu,Mangaka,Mnonia,Juma Mnali,09/06/2014,09-Jun-14,19,0,Mnonia,Mangaka,Nanyumbu,Mtwara
Mtwara,Masasi,Lulindi,Mnopwe ,Saidi Makunganya,19/06/2014,19-Jun-14,13,1,Mnopwe ,Lulindi,Masasi,Mtwara
Lindi,Lindi urban,Mitandi,Mnubi,NA,04/11/2016,04-Nov-16,0,0,Mnubi,Mitandi,Lindi Urban,Lindi
Lindi,Lindi urban,Mitandi,Mnubi,NA,10/09/2015,10-Sep-15,3,0,Mnubi,Mitandi,Lindi Urban,Lindi
lindi,Lindi urban,Mitandi,Mitandi,Dativa kissyma,03/06/2012,03-Jul-12,9,13,Mnubi,Mitandi,Lindi Urban,Lindi
Lindi,Lindi Urban,Mitandi,Mnubi,STELLA E. MUGINI,29/06/2014,29-Jun-14,5,1,Mnubi,Mitandi,Lindi Urban,Lindi
Mtwara,Mtwara rural,Milangominne,Mnyahi,NA,07/11/2016,07-Nov-16,0,1,Mnyahi,Milango Minne,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Nanyamba,Kilimanjaro,NA,27/08/2015,27-Aug-15,0,0,Mnyahi,Milango Minne,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Milangominne,Mnyahi,NA,24/08/2015,24-Aug-15,0,0,Mnyahi,Milango Minne,Mtwara Rural,Mtwara
mtwara,Mtwara rural,Milango Minne,Mnyahi,Rabia mkadimba,30/06/2012,30-Jun-12,2,1,Mnyahi,Milango Minne,Mtwara Rural,Mtwara
Mtwara,Mtwara Rural, Milangominne  ,Mnyahi,"Masumbuko G., Oscar Mwakafilwa, Mary Temba",21/06/2014,21-Jun-14,1,0,Mnyahi, Milangominne  ,Mtwara Rural,Mtwara
Dar Es Salaam,Ilala,Mnyamani,Mnyamani,NA,12/01/2017,12-Jan-17,16,1,Mnyamani,Buguruni,Ilala,Dar-es-salaam
Mtwara,Newala,Mkwedu,Mnyambachi,NA,21/11/2016,21-Nov-16,0,0,Mnyambachi,Mkwedu,Newala,Mtwara
Mtwara,Newala,Mkwedu,Mnyambachi,Mmary,25/08/2015,25-Aug-15,1,0,Mnyambachi,Mkwedu,Newala,Mtwara
Mtwara,Newala,Mkwedu,MNYAMBACHI,VALERIAN MKUNDI,05/03/2011,05-Mar-11,0,0,Mnyambachi,Mkwedu,Newala,Mtwara
Mtwara,Newala,Mkwedu,Mnyambachi,Sadock Biyogwa,30/07/2014,30-Jun-14,0,3,Mnyambachi,Mkwedu,Newala,Mtwara
Mtwara,Newala,Mnyambe,Mnyambe,NA,14/11/2016,14-Nov-16,86,25,Mnyambe,Mnyambe,Newala,Mtwara
Mtwara,Newala,Mnyambe,Mnyambe,Shakira,21/08/2015,21-Aug-15,83,6,Mnyambe,Mnyambe,Newala,Mtwara
mtwara,Newala,Mnyambe,Mnyambe,Mwang'enga sf,14/09/2012,14-Sep-12,109,22,Mnyambe,Mnyambe,Newala,Mtwara
Mtwara,Newala,Mnyambe,MNYAMBE,OMARY MSUYA,25/03/2011,25-Feb-11,51,85,Mnyambe,Mnyambe,Newala,Mtwara
Mtwara,Newala,Mnyambe,Mnyambe,Valerian Mkundi,05/07/2014,05-Jul-14,21,0,Mnyambe,Mnyambe,Newala,Mtwara
Lindi,Lindi Rural,Mipingo,Mnyangara,ALLY CHILAMBO,23/06/2014,23-Jun-14,10,0,Mnyangara,Mipingo,Lindi Rural,Lindi
Lindi,Lindi rural,Mipingo,Mnyangara,Lazaro Malamla,13/11/2016,13-Nov-16,15,5,Mnyangara,Mipingo,Lindi Rural,Lindi
Lindi,Lindi rural,Mnolela,Mnyangara,Ernest Mmbando ,07/09/2015,07-Sep-15,24,2,Mnyangara,Mipingo,Lindi Rural,Lindi
lindi,Lindi rural,Mipingo,Mnyangara,Juma Mpulumila,28/06/2012,28-Jun-12,8,0,Mnyangara,Mipingo,Lindi Rural,Lindi
Lindi,Lindi rural,Mipingo,Mnyangara ,Alli Chilambo ,21/02/2011,21-Feb-11,23,0,Mnyangara,Mipingo,Lindi Rural,Lindi
Mtwara,Tandahimba,Mnyawa,Mnyawa,P.Ntombola,01/11/2016,01-Nov-16,15,8,Mnyawa,Mnyawa,Tandahimba,Mtwara
Mtwara,Tandahimba,Mnyawa,Mnyawa,Simon Pius Paul,20/08/2015,20-Aug-15,15,4,Mnyawa,Mnyawa,Tandahimba,Mtwara
Mtwara,Tandahimba,Mnyawa,Mnyawa,Karimu S. Aibu,28/06/2011,28-Jun-11,6,5,Mnyawa,Mnyawa,Tandahimba,Mtwara
Mtwara,Tandahimba,Mnyawa,Mnyawa,Karimu S. Aibu,23/06/2014,23-Jun-14,18,6,Mnyawa,Mnyawa,Tandahimba,Mtwara
Mtwara,Mtwara rural,Milangominne,Myawi barabarani,NA,06/11/2016,06-Nov-16,8,0,Mnyawi Barabarani,Milango Minne,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Milangominne,Mnyawi Shuleni,NA,03/11/2016,03-Nov-16,0,0,Mnyawi Barabarani,Milango Minne,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Milangominne,Mnyawi bara barani,NA,26/08/2015,26-Aug-15,5,1,Mnyawi Barabarani,Milango Minne,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Milangominne,Mnyawi Shuleni,NA,24/08/2015,24-Aug-15,0,0,Mnyawi Barabarani,Milango Minne,Mtwara Rural,Mtwara
mtwara,Mtwara rural,Milango Minne,Mnyawi Barabarani,Rabia Mkadimba,30/06/2012,30-Jun-12,4,1,Mnyawi Barabarani,Milango Minne,Mtwara Rural,Mtwara
mtwara,Mtwara rural,Milango Minne,Mnyawi,Mr.Mkape,28/02/2011,28-Apr-11,8,3,Mnyawi Barabarani,Milango Minne,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Milangominne,Mnyawi,NA,09/11/2016,09-Nov-16,0,0,Mnyawi sokoni I,Milango Minne,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Milangominne,Mnyawi,NA,25/08/2015,25-Aug-15,1,0,Mnyawi sokoni I,Milango Minne,Mtwara Rural,Mtwara
Mtwara,Mtwara Rural, Milangominne  ,Mnyawibarabarani,"Masumbuko G., Oscar Mwakafilwa, Mary Temba",22/06/2014,22-Jun-14,4,0,Mnyawibarabarani, Milangominne  ,Mtwara Rural,Mtwara
Mtwara,Mtwara Rural, Milangominne  ,Mnyawisokoni,"Masumbuko G., Oscar Mwakafilwa, Mary Temba",21/06/2014,21-Jun-14,0,1,Mnyawi sokoni I, Milangominne  ,Mtwara Rural,Mtwara
Mtwara,Newala,Mnyambe,Mnyengachi,Shinje Ngalula,05/07/2014,05-Jul-14,11,6,Mnyengachi,Mnyambe,Newala,Mtwara
Kaskazini Pemba,Wete,Ukunjwi,Minyenyeni,NA,08/12/2014,08-Dec-14,5,0,Mnyenyeni,Ukunjwi,Wete,Pemba
Mtwara,Newala,Mtopwa,Mnyeu,NA,16/11/2016,16-Nov-16,0,0,Mnyeu,Mtopwa,Newala,Mtwara
Mtwara,Newala,Mtopwa,Mnyeu,Mrope,22/08/2015,22-Aug-15,6,1,Mnyeu,Mtopwa,Newala,Mtwara
Mtwara,Newala,Mtopwa,MNYETU,SILAS MWANG'ENGA,18/03/2011,18-Feb-11,0,0,Mnyeu,Mtopwa,Newala,Mtwara
Mtwara,Newala,Mtopwa,MNYEU,ADINANI WAJADI,16/03/2011,16-Feb-11,5,1,Mnyeu,Mtopwa,Newala,Mtwara
Mtwara,Newala,Mtopwa,Mnyeu,Michael Mwalugali,03/07/2014,03-Jul-14,37,1,Mnyeu,Mtopwa,Newala,Mtwara
Mtwara,Mtwara rural,Libobe,Mnyija,NA,04/11/2016,04-Nov-16,21,0,Mnyija,Libobe,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Libobe,Mnyija,NA,25/08/2015,25-Aug-15,23,0,Mnyija,Libobe,Mtwara Rural,Mtwara
mtwara,Mtwara rural,Libobe,Mnyija,Athman Khamis,02/06/2012,02-Jul-12,18,0,Mnyija,Libobe,Mtwara Rural,Mtwara
Mtwara,Mtwara Rural,Libobe,Mnyija,"Kapinga J., Beatrice M., Shemtandulo",22/06/2014,22-Jun-14,5,1,Mnyija,Libobe,Mtwara Rural,Mtwara
Mtwara,Tandahimba,Mdimba,Mnyoma,R.Kondo,02/11/2016,02-Nov-16,1,5,Mnyoma,Mdimba Mnyoma,Tandahimba,Mtwara
Mtwara,Tandahimba,Mdimbamnyoma,Mnyoma,Martin P. Daniel,24/08/2015,24-Aug-15,9,4,Mnyoma,Mdimba Mnyoma,Tandahimba,Mtwara
Mtwara,Tandahimba,Mdimbamnyoma,Mnyoma,Ramadhan A. Kondo,25/06/2014,25-Jun-14,4,3,Mnyoma,Mdimbamnyoma,Tandahimba,Mtwara
Mtwara,Mtwara rural,Ndumbwe,Mnyundo,NA,19/11/2016,19-Nov-16,4,6,Mnyundo,Ndumbwe,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Ndumbwe,Mnyundo,NA,23/08/2015,23-Aug-15,3,3,Mnyundo,Ndumbwe,Mtwara Rural,Mtwara
mtwara,Mtwara rural,Ndumbwe,Mnyundo,Joseph m.kapinga,28/06/2012,28-Jun-12,12,9,Mnyundo,Ndumbwe,Mtwara Rural,Mtwara
Mtwara,Mtwara Rural, Ndumbwe  ,Mnyundo,"Kapinga J., Beatrice M., Shemtandulo",19/06/2014,19-Jun-14,5,5,Mnyundo, Ndumbwe  ,Mtwara Rural,Mtwara
Kusini Pemba,Chakechake,Wawi,Mochari,NA,09/12/2014,09-Dec-14,4,0,Mochari,Wawi,Chake Chake,Pemba
Morogoro,Kilombero,Mofu,Mofu,NA,26/11/2016,26-Nov-16,127,22,Mofu,Mofu,Kilombero,Morogoro
Morogoro,Kilombero,Mofu,Miyomboni,NA,21/11/2016,21-Nov-16,34,0,Mofu,Mofu,Kilombero,Morogoro
Morogoro,Kilombero,Mofu ,Ihenga ,Semkuya Hashim,07/01/2015,07-Jan-15,92,6,Mofu,Mofu,Kilombero,Morogoro
Morogoro,Kilombero,Mofu ,Kalenga ,Ernesto Maphie,07/01/2015,07-Jan-15,54,17,Mofu,Mofu,Kilombero,Morogoro
Morogoro,Kilombero,Mofu ,Miyomboni ,Andrew Mwaisumo,07/01/2015,07-Jan-15,103,16,Mofu,Mofu,Kilombero,Morogoro
Morogoro,Kilombero,Mofu ,Mofu ,Edina Sasai,07/01/2015,07-Jan-15,62,37,Mofu,Mofu,Kilombero,Morogoro
Morogoro,Kilombero,Mofu  ,Mofu,NA,13/10/2011,13-Oct-11,284,144,Mofu,Mofu,Kilombero,Morogoro
Morogoro,Kilombero,Mofu  ,Mofu,NA,22/07/2010,22-Jul-10,117,67,Mofu,Mofu,Kilombero,Morogoro
Dar-es-salaam,Ilala,Kipawa,Mogo,Daudi H.H,17/06/2015,17-Jun-15,22,2,Mogo,Kipawa,Ilala,Dar-es-salaam
Coast,Rufiji,Chumbi,King'ongo,NA,18/11/2016,18-Nov-16,48,0,Mohoro,Chumbi,Rufiji,Pwani
Coast,Rufiji,Chumbi,Mohoro Magh,NA,16/11/2016,16-Nov-16,32,NA,Mohoro,Chumbi,Rufiji,Pwani
Coast,Rufiji,Chumbi,Mohoro Mash,NA,16/11/2016,16-Nov-16,68,1,Mohoro,Chumbi,Rufiji,Pwani
Pwani,Rufiji,Chumbi,Mohoro Magh,NA,04/02/2015,04-Feb-15,23,2,Mohoro,Chumbi,Rufiji,Pwani
Pwani,Rufiji,Chumbi,Mohoro Mash,NA,04/02/2015,04-Feb-15,11,1,Mohoro,Chumbi,Rufiji,Pwani
Pwani,Rufiji,Chumbi,Mohoro Magharibi,PIUS MBELE,13/12/2013,13-Dec-13,30,10,Mohoro,Chumbi,Rufiji,Pwani
Pwani,Rufiji,Chumbi,Mohoro Mashariki,PIUS MBELE,11/12/2013,11-Dec-13,50,12,Mohoro,Chumbi,Rufiji,Pwani
Pwani,Rufiji,Chumbi,Mohoro,Singano,16/06/2012,16-Jun-12,12,2,Mohoro,Chumbi,Rufiji,Pwani
Pwani,Rufiji,Chumbi,Mohoro,Singano piur,12/06/2012,12-Jun-12,32,1,Mohoro,Chumbi,Rufiji,Pwani
Pwani,Rufiji,Chumbi,Mohoro Magh,PROSISTA MOSHIRO,03/03/2011,03-Mar-11,23,8,Mohoro,Chumbi,Rufiji,Pwani
Pwani,Rufiji,Chumbi,Mohoro Mash,PROSISTA MOSHIRO,02/03/2011,02-Mar-11,41,10,Mohoro,Chumbi,Rufiji,Pwani
Lindi,Lindi rural,Matimba,Moka,Saidi Mkingie,17/11/2016,17-Nov-16,4,4,Moka,Matimba,Lindi Rural,Lindi
Lindi,Lindi rural,Mipingo,Moka,Emmanuel Mwashilanga ,08/09/2015,08-Sep-15,9,0,Moka,Matimba,Lindi Rural,Lindi
Lindi,Lindi rural,Matimba,Moka ,Said Nkingie ,19/02/2011,19-Feb-11,11,3,Moka,Matimba,Lindi Rural,Lindi
Mtwara,Mtwara rural,Moma,Lukweta,NA,19/11/2016,19-Nov-16,0,0,Moma,Ziwani,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Moma,Moma,NA,17/11/2016,17-Nov-16,0,0,Moma,Ziwani,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Moma,Lukweta,NA,27/08/2015,27-Aug-15,9,0,Moma,Ziwani,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Moma,Moma,NA,26/08/2015,26-Aug-15,7,0,Moma,Ziwani,Mtwara Rural,Mtwara
mtwara,Mtwara rural,Ziwani,Moma,Bistna M.Mtawa,28/06/2012,28-Jun-12,9,0,Moma,Ziwani,Mtwara Rural,Mtwara
Mtwara,Mtwara Rural, Ziwani  ,Moma,"Kazumali A., Dotto Awadh, Maria Ngatata",18/06/2014,18-Jun-14,0,5,Moma, Ziwani  ,Mtwara Rural,Mtwara
Mtwara,Newala,Majengo,Moneka,NA,01/11/2016,01-Dec-16,9,9,Moneka,Mtonya,Newala,Mtwara
Mtwara,Newala,Mtonya,Moneka,Likunda,24/08/2015,24-Aug-15,10,0,Moneka,Mtonya,Newala,Mtwara
Mtwara,Newala,Mtonya,MONEKA,ELIAS MLAPONI,16/03/2011,16-Feb-11,0,0,Moneka,Mtonya,Newala,Mtwara
Mtwara,Newala,Mtonya,Moneka,Michael Mwalugali,04/07/2014,04-Jul-14,18,0,Moneka,Mtonya,Newala,Mtwara
Dar-es-salaam,Ilala,Ukonga,Mongolandege,Beatus Mloka,19/06/2015,19-Jun-15,45,1,Mongo la Ndege,Ukonga,Ilala,Dar-es-salaam
Lindi,Lindi rural,Navanga,Mmongomongo,Hassan Chipila,12/11/2016,12-Nov-16,0,0,Mongomongo,Navanga,Lindi Rural,Lindi
Lindi,Lindi rural,Matimba,Mongomongo,Jafaran Mohamed ,02/09/2015,02-Sep-15,2,0,Mongomongo,Navanga,Lindi Rural,Lindi
lindi,Lindi rural,Navanga,Mongomongo,Fatuma Rashidi,28/06/2012,28-Jun-12,12,2,Mongomongo,Navanga,Lindi Rural,Lindi
Lindi,Lindi rural,Navanga,Mmongomongo ,Boniventure Achiula ,03/02/2011,03-Mar-11,33,0,Mongomongo,Navanga,Lindi Rural,Lindi
Lindi,Lindi Rural,Navanga,Mongomongo,MGONJA . N.N,29/06/2014,29-Jun-14,16,0,Mongomongo,Navanga,Lindi Rural,Lindi
Dar-es-salaam,Temeke,Mbagala,Moringe,Baatrice Lyimo & Amina Nkinda,27/02/2015,27-Jan-15,8,2,Moringe,Mbagala,Temeke,Dar-es-salaam
Dar-es-salaam,Temeke,Mbagala,Mbagala,Betrace Lymo,06/03/2013,06-Mar-13,21,6,Moringe,Mbagala,Temeke,Dar-es-salaam
Dar Es Salaam,Temeke,Mbagala,Moringe,Chausiku Mande,24/09/2011,24-Sep-11,19,8,Moringe,Mbagala,Temeke,Dar-es-salaam
Coast,Mkuranga,Dondo,Mpafu,NA,30/12/2016,30-Nov-16,11,3,Mpafu,Kisiju,Mkuranga,Pwani
Pwani,Mkuranga,NA,Mpafu,NA,03/01/2015,03-Jan-15,7,4,Mpafu,Kisiju,Mkuranga,Pwani
Pwani,Mkuranga,Kisiju,Mpafu,Godfrey mushi,17/11/2013,17-Nov-13,18,0,Mpafu,Kisiju,Mkuranga,Pwani
Pwani,Mkuranga,Kisiju,Mpafu,Yahya Chomboko,16/06/2012,16-Jun-12,20,0,Mpafu,Kisiju,Mkuranga,Pwani
Pwani,Mkuranga,Kisiju,Mpafu,Nkongo M.L,20/03/2011,20-Mar-11,21,5,Mpafu,Kisiju,Mkuranga,Pwani
Kaskazini Pemba,Wete,Mt. Kaskazini,Mpakanjia,NA,09/12/2014,09-Dec-14,15,0,Mpaka Njia,Mtambwe Kaskazini,Wete,Pemba
